id	qtype	question	answer
-1	1	你好	您好，请问有什么可以帮您~
-1	2	你好啊	您好，请问有什么可以帮您~
-1	3	你好呀	您好，请问有什么可以帮您~
-1	4	你好么	您好，请问有什么可以帮您~
-1	5	您好啊	您好，请问有什么可以帮您~
-1	6	您好呀	您好，请问有什么可以帮您~
-1	7	您好么	您好，请问有什么可以帮您~
-1	8	您好	您好，请问有什么可以帮您~
-1	9	在	您好，请问有什么可以帮您~
-1	10	在么	您好，请问有什么可以帮您~
-1	11	在不	您好，请问有什么可以帮您~
-1	12	在不在	您好，请问有什么可以帮您~
-1	13	在呀	您好，请问有什么可以帮您~
-1	14	在哈	您好，请问有什么可以帮您~
-1	15	哈哈你在	您好，请问有什么可以帮您~
-1	16	在呀哈哈哈	您好，请问有什么可以帮您~
-1	17	啦啦啦啦	您好，请问有什么可以帮您~
-1	18	哈哈哈	您好，请问有什么可以帮您~
-1	19	吼吼	您好，请问有什么可以帮您~
-1	20	哈哈	您好，请问有什么可以帮您~
-1	21	呀呀呀呀	您好，请问有什么可以帮您~
-1	22	啦啦啦	您好，请问有什么可以帮您~
-1	23	呀呀呀	您好，请问有什么可以帮您~
-1	24	哎呀呀呀	您好，请问有什么可以帮您~
-1	25	哎呀呀	您好，请问有什么可以帮您~
-1	26	在吗	您好，请问有什么可以帮您~
-1	27	有人吗	您好，请问有什么可以帮您~
-1	28	你是谁	我是随叫随到的小拿~
-1	29	你叫什么	小拿，小拿，小拿，重要的事情说三遍。。。。。哈哈
-1	30	你的名字	小拿，小拿，小拿。。。。。哈哈哈，嗝~
-1	31	亲在吗	您好，请问有什么可以帮您~
-1	32	在不	您好，请问有什么可以帮您~
-1	33	hi	您好，请问有什么可以帮您~
-1	34	hello	您好，请问有什么可以帮您~
-1	35	哈喽	您好，请问有什么可以帮您~
-1	36	在么	您好，请问有什么可以帮您~
-1	37	有人在吗	您好，请问有什么可以帮您~
-1	38	客服在线吗	您好，请问有什么可以帮您~
-1	39	有客服吗	您好，请问有什么可以帮您~
-1	40	还在吗	您好，请问有什么可以帮您~
-1	41	请问有人吗	您好，请问有什么可以帮您~
-1	42	打扰一下	您好，请问有什么可以帮您~
-1	43	在吗说话	您好，请问有什么可以帮您~
-1	44	你好在吗	您好，请问有什么可以帮您~
-1	45	有人工吗	您好，请问有什么可以帮您~
-1	46	客服还在吗	您好，请问有什么可以帮您~
-1	47	早安	早晨的最大好处,是让我们知道今天能从头开始~
-1	48	早	早安,朋友,愿你今天好心情,生活工作都舒心~
-1	49	早上好	早上好,今天又是美丽的一天！
-1	50	中午好	中午也要元气满满哟~
-1	51	午安	中午不睡,下午崩溃~
-1	52	晚上好	晚上好,又过了充实的一天~
-1	53	晚安	晚安,有个好梦哟~
-1	54	谁最帅	这是一个很好的问题，你要问我的话，我只能回答你。。是我
-1	55	最帅的是谁	这是一个很好的问题，你要问我的话，我只能回答你。。是我
-1	56	谁最聪明	这是一个很好的问题，你要问我的话，我只能回答你。。是我
-1	57	谁最厉害	这是一个很好的问题，你要问我的话，我只能回答你。。是我
-1	58	谁最美	这是一个很好的问题，你要问我的话，我只能回答你。。是我
-1	59	有对象了么	小拿目前还小，问得有点高深了，待我长发及腰，到时你娶我可好！
-1	60	你有对象么	小拿目前还小，问得有点高深了，待我长发及腰，到时你娶我可好！
-1	61	是单身么	小拿目前还小，问得有点高深了，待我长发及腰，到时你娶我可好！
-1	62	你有老婆	小拿目前还小，问得有点高深了，待我长发及腰，到时你娶我可好！
-1	63	你有女朋友	小拿目前还小，问得有点高深了，待我长发及腰，到时你娶我可好！
-1	64	吹牛	不要这么说，会伤感情的,有问题咱们好好解决
-1	65	吹牛逼	不要这么说，会伤感情的,有问题咱们好好解决
-1	66	可以借钱吗	不要这么说，会伤感情的,有问题咱们好好解决
-1	67	能借点钱花不	不要这么说，会伤感情的,有问题咱们好好解决
-1	68	还钱	不要这么说，会伤感情的,有问题咱们好好解决
-1	69	你是猪吗	不要这么说，会伤感情的,有问题咱们好好解决
-1	70	fuck	不要这么说，会伤感情的,有问题咱们好好解决
-1	71	猪	不要这么说，会伤感情的,有问题咱们好好解决
-1	72	你太lower	不要这么说，会伤感情的,有问题咱们好好解决
-1	73	你好笨	不要这么说，会伤感情的,有问题咱们好好解决
-1	74	你好傻	不要这么说，会伤感情的,有问题咱们好好解决
-1	75	小拿好傻	不要这么说，会伤感情的,有问题咱们好好解决
-1	76	小拿好笨	不要这么说，会伤感情的,有问题咱们好好解决
-1	77	小拿好坏	不要这么说，会伤感情的,有问题咱们好好解决
-1	78	傻	不要这么说，会伤感情的,有问题咱们好好解决
-1	79	坏	不要这么说，会伤感情的,有问题咱们好好解决
-1	80	笨	不要这么说，会伤感情的,有问题咱们好好解决
-1	81	瓜	不要这么说，会伤感情的,有问题咱们好好解决
-1	82	菜	不要这么说，会伤感情的,有问题咱们好好解决
-1	83	你好瓜	不要这么说，会伤感情的,有问题咱们好好解决
-1	84	我爱你	谢谢你，我会尽力回答你的问题并且也很喜欢你，哈哈
-1	85	我喜欢你	谢谢你，我会尽力回答你的问题并且也很喜欢你，哈哈
-1	86	爱你	谢谢你，我会尽力回答你的问题并且也很喜欢你，哈哈
-1	87	喜欢你	谢谢你，我会尽力回答你的问题并且也很喜欢你，哈哈
-1	88	谢谢	谢谢你，我会尽力回答你的问题并且也很喜欢你，哈哈
-1	89	好的	谢谢你，我会尽力回答你的问题并且也很喜欢你，哈哈
-1	90	可爱	谢谢你，我会尽力回答你的问题并且也很喜欢你，哈哈
-1	91	好可爱	谢谢你，我会尽力回答你的问题并且也很喜欢你，哈哈
-1	92	可以啊你	谢谢你，我会尽力回答你的问题并且也很喜欢你，哈哈
-1	93	你真行	谢谢你，我会尽力回答你的问题并且也很喜欢你，哈哈
-1	94	行啊你	谢谢你，我会尽力回答你的问题并且也很喜欢你，哈哈
-1	95	你真可以	谢谢你，我会尽力回答你的问题并且也很喜欢你，哈哈
-1	96	可以啊	谢谢你，我会尽力回答你的问题并且也很喜欢你，哈哈
